name,province,appleMapLink
ศูนย์การค้า ยูเนี่ยนมอลล์,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%20%E0%B8%A2%E0%B8%B9%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%99%E0%B8%A1%E0%B8%AD%E0%B8%A5%E0%B8%A5%E0%B9%8C&ll=13.81344300,100.56176800"
เทสโก้ โลตัส สาขาลาดพร้าว 101,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%80%E0%B8%97%E0%B8%AA%E0%B9%82%E0%B8%81%E0%B9%89%20%E0%B9%82%E0%B8%A5%E0%B8%95%E0%B8%B1%E0%B8%AA%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%A7%20101&ll=13.78677900,100.62979900"
เทสโก้ โลตัส (เอ็กซ์เพรส)ซ.สะพานคู่ถ.พระราม 4,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%80%E0%B8%97%E0%B8%AA%E0%B9%82%E0%B8%81%E0%B9%89%20%E0%B9%82%E0%B8%A5%E0%B8%95%E0%B8%B1%E0%B8%AA%20%28%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C%E0%B9%80%E0%B8%9E%E0%B8%A3%E0%B8%AA%29%E0%B8%8B.%E0%B8%AA%E0%B8%B0%E0%B8%9E%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%96.%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1%204&ll=13.72424100,100.54910800"
วัดพระเชตุพนวิมลมังคลาราม,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%8A%E0%B8%95%E0%B8%B8%E0%B8%9E%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%A1%E0%B8%A5%E0%B8%A1%E0%B8%B1%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1&ll=13.74699000,100.49202000"
สินทวีวิลล่า,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A7%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B9%88%E0%B8%B2&ll=13.66953110,100.45731270"
โครงการ Market Today กรุงเทพกรีฑา,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%20Market%20Today%20%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%91%E0%B8%B2&ll=13.75127800,100.65655700"
Big C สาขากัลปพฤกษ์,กรุงเทพมหานคร,"https://maps.apple.com/?q=Big%20C%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%81%E0%B8%B1%E0%B8%A5%E0%B8%9B%E0%B8%9E%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C&ll=13.68879500,100.43238900"
สน.ปตท.สาขาสวัสดิการสำนักงานปลัดกระทรวงกลาโหม ( บางนาขาเข้า ),กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%99.%E0%B8%9B%E0%B8%95%E0%B8%97.%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%9B%E0%B8%A5%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%A3%E0%B8%A7%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B9%82%E0%B8%AB%E0%B8%A1%20%28%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%20%29&ll=13.68583155,100.60096979"
เทสโก้ โลตัส สาขาพระราม 2,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%80%E0%B8%97%E0%B8%AA%E0%B9%82%E0%B8%81%E0%B9%89%20%E0%B9%82%E0%B8%A5%E0%B8%95%E0%B8%B1%E0%B8%AA%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1%202&ll=13.64780800,100.41841000"
ร้านจิ๊ฟฟี่ ถ.กรุงเทพ-พุทธมณฑล สาย 2,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B4%E0%B9%8A%E0%B8%9F%E0%B8%9F%E0%B8%B5%E0%B9%88%20%E0%B8%96.%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A1%E0%B8%93%E0%B8%91%E0%B8%A5%20%E0%B8%AA%E0%B8%B2%E0%B8%A2%202&ll=13.74525000,100.39558300"
โครงการ CDC ถนนเลียบทางด่วนรามอินทรา,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%20CDC%20%E0%B8%96%E0%B8%99%E0%B8%99%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B9%88%E0%B8%A7%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B2&ll=13.80204600,100.61866800"
สน.ปตท.PTTRMกรุงเทพ-รามอินทรา กม.14รหัสสถานี 3 2,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%99.%E0%B8%9B%E0%B8%95%E0%B8%97.PTTRM%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B2%20%E0%B8%81%E0%B8%A1.14%E0%B8%A3%E0%B8%AB%E0%B8%B1%E0%B8%AA%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%203%202&ll=13.81333000,100.71168000"
สน.ปตท.PTTRMกรุงเทพฯ-สุวินทวงศ์รหัสสถานี 3 7,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%99.%E0%B8%9B%E0%B8%95%E0%B8%97.PTTRM%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%AF-%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A7%E0%B8%87%E0%B8%A8%E0%B9%8C%E0%B8%A3%E0%B8%AB%E0%B8%B1%E0%B8%AA%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%203%207&ll=13.80943000,100.82017000"
เดอะไนน์ ทาวเวอร์ แกรนด์ พระราม 9,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%84%E0%B8%99%E0%B8%99%E0%B9%8C%20%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C%20%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%99%E0%B8%94%E0%B9%8C%20%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1%209&ll=13.75887500,100.56789600"
หจก.ศิริสมบูรณ์เซิร์ฟ,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AB%E0%B8%88%E0%B8%81.%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%AA%E0%B8%A1%E0%B8%9A%E0%B8%B9%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B9%80%E0%B8%8B%E0%B8%B4%E0%B8%A3%E0%B9%8C%E0%B8%9F&ll=13.69095000,100.64670560"
อาคารพาณิชย์ตรงข้าม Town in Town,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%9E%E0%B8%B2%E0%B8%93%E0%B8%B4%E0%B8%8A%E0%B8%A2%E0%B9%8C%E0%B8%95%E0%B8%A3%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A1%20Town%20in%20Town&ll=13.77406200,100.61031600"
โรงพยาบาลเจริญกรุงประชารักษ์,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C&ll=13.69486800,100.49491600"
สุพรีม คอมเพล็กซ์,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B8%A1%20%E0%B8%84%E0%B8%AD%E0%B8%A1%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C&ll=13.78978400,100.51536300"
เรเนซองส์ กรุงเทพฯ ราชประสงค์,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%80%E0%B8%A3%E0%B9%80%E0%B8%99%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B9%8C%20%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%AF%20%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%87%E0%B8%84%E0%B9%8C&ll=13.74402900,100.54241500"
ปิงมาร์เช่ สรรพาวุธ,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%9B%E0%B8%B4%E0%B8%87%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%8A%E0%B9%88%20%E0%B8%AA%E0%B8%A3%E0%B8%A3%E0%B8%9E%E0%B8%B2%E0%B8%A7%E0%B8%B8%E0%B8%98&ll=13.67389700,100.60071500"
โครงการ Ping-MarCha’park,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%20Ping-MarCha%E2%80%99park&ll=13.70495020,100.63582670"
nirvana,กรุงเทพมหานคร,"https://maps.apple.com/?q=nirvana&ll=13.75249900,100.68429000"
ตรงข้ามโรงเรียนนานาชาติสิงคโปร์ (ธนบุรี),กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%95%E0%B8%A3%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%99%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%AA%E0%B8%B4%E0%B8%87%E0%B8%84%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%8C%20%28%E0%B8%98%E0%B8%99%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%29&ll=13.73229780,100.42080480"
มาร์เก็ตเพลส เทพรักษ์,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA%20%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C&ll=13.87551720,100.64584350"
ห้างสรรพสินค้า เซ็นทรัล บางนา,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AB%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%AA%E0%B8%A3%E0%B8%A3%E0%B8%9E%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%20%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%A5%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2&ll=13.67022400,100.63433600"
เทสโก้ โลตัส สาขาแจ้งวัฒนะ,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%80%E0%B8%97%E0%B8%AA%E0%B9%82%E0%B8%81%E0%B9%89%20%E0%B9%82%E0%B8%A5%E0%B8%95%E0%B8%B1%E0%B8%AA%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B9%81%E0%B8%88%E0%B9%89%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B0&ll=13.89512300,100.55664100"
ศูนย์การค้าอิมพีเรียล ลาดพร้าว,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B8%B5%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%A5%20%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%A7&ll=13.78457400,100.61284900"
ศูนย์การค้า เพลินนารี่,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%20%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B9%88&ll=13.85829900,100.64516800"
พรรคประชาธิปัตย์,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%84%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%9B%E0%B8%B1%E0%B8%95%E0%B8%A2%E0%B9%8C&ll=13.78317620,100.53300060"
โครงการ Victoria Garden,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%20Victoria%20Garden&ll=13.70671300,100.37493500"
บีบีซี เอกมัย,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%9A%E0%B8%B5%E0%B8%9A%E0%B8%B5%E0%B8%8B%E0%B8%B5%20%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%A1%E0%B8%B1%E0%B8%A2&ll=13.72402279,100.58409870"
อาคาร ซี.พี. ทาวเวอร์,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%20%E0%B8%8B%E0%B8%B5.%E0%B8%9E%E0%B8%B5.%20%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C&ll=13.72775700,100.53251100"
รพ.ยันฮี,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%A3%E0%B8%9E.%E0%B8%A2%E0%B8%B1%E0%B8%99%E0%B8%AE%E0%B8%B5&ll=13.80010900,100.51133200"
อาคารธนธร,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%98%E0%B8%99%E0%B8%98%E0%B8%A3&ll=13.72149207,100.49887771"
สน.PTTRM สาขา กรุงเทพ-พหลโยธิน กม.27,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%99.PTTRM%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%20%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%9E%E0%B8%AB%E0%B8%A5%E0%B9%82%E0%B8%A2%E0%B8%98%E0%B8%B4%E0%B8%99%20%E0%B8%81%E0%B8%A1.27&ll=13.94155800,100.62359300"
อาคารอับดุลราฮิม เพลส,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B1%E0%B8%9A%E0%B8%94%E0%B8%B8%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%AE%E0%B8%B4%E0%B8%A1%20%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA&ll=13.72742800,100.53959600"
ท่าอากาศยานดอนเมือง อาคาร1 ชั้น1,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%20%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A31%20%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%991&ll=13.91270400,100.60559100"
โรงพยาบาลสมเด็จพระปิ่นเกล้า,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2&ll=13.70984800,100.48467300"
